Region,Consumer,Demand (MWh)
31,k1,6443.76
18,k1,117.76
19,k1,395.41
15,k1,239.68
14,k1,503.98
16,k1,3127.92
17,k1,599.52
13,k1,162.48
12,k1,251.93
21,k1,107.45
20,k1,8.77
1,k1,735.49
5,k1,307.13
4,k1,203.04
3,k1,326
6,k1,188.76
2,k1,261.12
9,k1,981.05
8,k1,85.01
10,k1,234.25
7,k1,722.05
11,k1,832.38
24,k1,1634.35
28,k1,619.83
29,k1,13.39
23,k1,1701.62
30,k1,1788.92
27,k1,330.4
26,k1,625.05
25,k1,787.72
22,k1,309.06
35,k1,442.07
32,k1,307.83
38,k1,425.56
39,k1,657.83
36,k1,735.22
37,k1,241.68
40,k1,78.61
34,k1,1803.6
33,k1,406.53
41,k1,131.5
43,k1,413.59
44,k1,83.73
42,k1,414.27
45,k1,38.16
